,Direct,MinPrice,OutOrigin,OutDestination,OutboundCarrier,InboundCarrier,DepartureDate1,DepartureDate2,Distance,CPM,QuoteDateTime,MomondoLink,GoogleLink
245,False,488,CDG,SHE,China Southern,China Southern,2017-04-30 00:00:00,2017-05-30 00:00:00,5221.22406778073,4.673233648517055,2017-01-03 19:09:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=SHE&SDP0=30-04-2017&SO1=SHE&SD1=CDG&SDP1=30-05-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=SHE;d=2017-04-30;r=2017-05-30
248,False,492,CDG,SZX,Hainan Airlines,,2017-02-28 00:00:00,2017-03-02 00:00:00,5938.545900469662,4.142428199141217,2017-01-08 22:13:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=SZX&SDP0=28-02-2017&SO1=SZX&SD1=CDG&SDP1=02-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=SZX;d=2017-02-28;r=2017-03-02
249,False,530,CDG,TAO,Cathay Pacific,Cathay Pacific,2017-03-20 00:00:00,2017-03-29 00:00:00,5424.054806823925,4.885643848336623,2017-01-04 00:09:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=TAO&SDP0=20-03-2017&SO1=TAO&SD1=CDG&SDP1=29-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=TAO;d=2017-03-20;r=2017-03-29
256,True,593,CDG,WUH,Air France,Air France,2017-03-10 00:00:00,2017-03-18 00:00:00,5510.009503651077,5.3811159455084665,2017-01-08 21:34:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=WUH&SDP0=10-03-2017&SO1=WUH&SD1=CDG&SDP1=18-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=WUH;d=2017-03-10;r=2017-03-18
257,False,467,CDG,WUH,,China Southern,2017-01-29 00:00:00,2017-02-05 00:00:00,5510.009503651077,4.237742237019315,2016-12-30 09:00:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=WUH&SDP0=29-01-2017&SO1=WUH&SD1=CDG&SDP1=05-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=WUH;d=2017-01-29;r=2017-02-05
260,True,462,CDG,XIY,Hainan Airlines,Hainan Airlines,2017-03-12 00:00:00,2017-03-21 00:00:00,5112.596882970341,4.518251786473581,2017-01-12 12:39:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=XIY&SDP0=12-03-2017&SO1=XIY&SD1=CDG&SDP1=21-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=XIY;d=2017-03-12;r=2017-03-21
261,False,435,CDG,XIY,China Southern,China Southern,2017-03-14 00:00:00,2017-04-03 00:00:00,5112.596882970341,4.254198110640709,2017-01-10 22:44:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=XIY&SDP0=14-03-2017&SO1=XIY&SD1=CDG&SDP1=03-04-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=XIY;d=2017-03-14;r=2017-04-03
262,False,529,CDG,XMN,,Korean Air,2017-02-14 00:00:00,2017-02-22 00:00:00,5998.384458754827,4.409520627074079,2017-01-04 11:17:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=XMN&SDP0=14-02-2017&SO1=XMN&SD1=CDG&SDP1=22-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=XMN;d=2017-02-14;r=2017-02-22
276,False,554,CDG,BOG,Aeromexico,Aeromexico,2017-04-28 00:00:00,2017-05-03 00:00:00,5373.077352751397,5.155332443858385,2016-12-30 20:13:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=BOG&SDP0=28-04-2017&SO1=BOG&SD1=CDG&SDP1=03-05-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=BOG;d=2017-04-28;r=2017-05-03
286,False,561,CDG,HAV,Aeromexico,Aeromexico,2017-04-28 00:00:00,2017-05-09 00:00:00,4813.221579668432,5.827697631558503,2016-12-31 17:52:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=HAV&SDP0=28-04-2017&SO1=HAV&SD1=CDG&SDP1=09-05-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=HAV;d=2017-04-28;r=2017-05-09
293,False,169,CDG,LCA,Aegean Airlines,Aegean Airlines,2017-03-03 00:00:00,2017-03-05 00:00:00,1853.0503053144064,4.560048896549676,2017-01-09 13:41:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=LCA&SDP0=03-03-2017&SO1=LCA&SD1=CDG&SDP1=05-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=LCA;d=2017-03-03;r=2017-03-05
294,True,181,CDG,LCA,Cobalt,Cobalt,2017-02-12 00:00:00,2017-02-19 00:00:00,1853.0503053144064,4.883839350742553,2017-01-12 07:37:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=LCA&SDP0=12-02-2017&SO1=LCA&SD1=CDG&SDP1=19-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=LCA;d=2017-02-12;r=2017-02-19
325,True,43,CDG,TXL,eurowings,eurowings,2017-02-13 00:00:00,2017-02-16 00:00:00,528.6235907705179,4.0671661982889855,2017-01-11 23:28:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=TXL&SDP0=13-02-2017&SO1=TXL&SD1=CDG&SDP1=16-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=TXL;d=2017-02-13;r=2017-02-16
334,True,52,CDG,CPH,easyJet,easyJet,2017-03-23 00:00:00,2017-03-24 00:00:00,623.8462674710133,4.1676934455984505,2017-01-12 00:21:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=CPH&SDP0=23-03-2017&SO1=CPH&SD1=CDG&SDP1=24-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=CPH;d=2017-03-23;r=2017-03-24
338,False,448,CDG,PUJ,Condor,Condor,2017-01-23 00:00:00,2017-02-06 00:00:00,4399.830749712546,5.091104925220921,2017-01-12 06:33:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=PUJ&SDP0=23-01-2017&SO1=PUJ&SD1=CDG&SDP1=06-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=PUJ;d=2017-01-23;r=2017-02-06
339,True,431,CDG,PUJ,XL Airways France,XL Airways France,2017-09-16 00:00:00,2017-09-30 00:00:00,4399.830749712546,4.897915675826377,2017-01-07 20:05:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=PUJ&SDP0=16-09-2017&SO1=PUJ&SD1=CDG&SDP1=30-09-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=PUJ;d=2017-09-16;r=2017-09-30
341,False,504,CDG,SDQ,Aeromexico,Aeromexico,2017-03-03 00:00:00,2017-03-11 00:00:00,4465.871565146648,5.642795506406932,2016-12-30 09:19:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=SDQ&SDP0=03-03-2017&SO1=SDQ&SD1=CDG&SDP1=11-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=SDQ;d=2017-03-03;r=2017-03-11
345,False,685,CDG,GYE,,KLM,2017-03-09 00:00:00,2017-03-14 00:00:00,5990.79974110048,5.717099799718635,2017-01-06 16:44:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=GYE&SDP0=09-03-2017&SO1=GYE&SD1=CDG&SDP1=14-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=GYE;d=2017-03-09;r=2017-03-14
346,False,696,CDG,UIO,KLM,KLM,2017-01-25 00:00:00,2017-02-15 00:00:00,5815.749260546565,5.983751781748839,2017-01-06 21:27:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=UIO&SDP0=25-01-2017&SO1=UIO&SD1=CDG&SDP1=15-02-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=UIO;d=2017-01-25;r=2017-02-15
348,True,106,CDG,TLL,airBaltic,airBaltic,2017-12-01 00:00:00,2017-12-04 00:00:00,1142.766069789746,4.637869586883281,2017-01-02 09:58:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=TLL&SDP0=01-12-2017&SO1=TLL&SD1=CDG&SDP1=04-12-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=TLL;d=2017-12-01;r=2017-12-04
351,False,225,CDG,CAI,Aegean Airlines,Aegean Airlines,2017-03-14 00:00:00,2017-03-27 00:00:00,1995.4473422564733,5.637833563314369,2016-12-30 21:42:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=CAI&SDP0=14-03-2017&SO1=CAI&SD1=CDG&SDP1=27-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=CAI;d=2017-03-14;r=2017-03-27
365,False,166,CDG,LPA,Vueling Airlines,Vueling Airlines,2017-03-13 00:00:00,2017-03-28 00:00:00,1740.8760982663991,4.767714375690098,2017-01-08 22:21:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=LPA&SDP0=13-03-2017&SO1=LPA&SD1=CDG&SDP1=28-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=LPA;d=2017-03-13;r=2017-03-28
387,False,1230,CDG,NAN,Korean Air,Korean Air,2017-08-14 00:00:00,2017-08-30 00:00:00,10261.165976703318,5.993470931045067,2017-01-01 15:19:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=NAN&SDP0=14-08-2017&SO1=NAN&SD1=CDG&SDP1=30-08-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=NAN;d=2017-08-14;r=2017-08-30
435,False,192,CDG,TBS,Aegean Airlines,Aegean Airlines,2017-05-08 00:00:00,2017-05-22 00:00:00,2092.298215633938,4.588256075671952,2016-12-29 11:50:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=TBS&SDP0=08-05-2017&SO1=TBS&SD1=CDG&SDP1=22-05-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=TBS;d=2017-05-08;r=2017-05-22
443,True,372,CDG,PTP,XL Airways France,XL Airways France,2017-03-08 00:00:00,2017-03-15 00:00:00,4207.627820822516,4.420543068936176,2017-01-08 20:46:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=PTP&SDP0=08-03-2017&SO1=PTP&SD1=CDG&SDP1=15-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=PTP;d=2017-03-08;r=2017-03-15
448,False,147,CDG,ATH,SAS,Air France,2017-02-08 00:00:00,2017-03-01 00:00:00,1310.6249440483555,5.608011684331885,2017-01-04 22:10:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=ATH&SDP0=08-02-2017&SO1=ATH&SD1=CDG&SDP1=01-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=ATH;d=2017-02-08;r=2017-03-01
449,True,117,CDG,ATH,Aegean Airlines,Aegean Airlines,2017-09-22 00:00:00,2017-09-25 00:00:00,1310.6249440483555,4.46351950385599,2017-01-08 05:28:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=ATH&SDP0=22-09-2017&SO1=ATH&SD1=CDG&SDP1=25-09-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=ATH;d=2017-09-22;r=2017-09-25
451,True,94,CDG,CFU,easyJet,easyJet,2017-06-26 00:00:00,2017-06-28 00:00:00,1072.9288209799581,4.380532900316036,2016-12-31 12:56:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=CFU&SDP0=26-06-2017&SO1=CFU&SD1=CDG&SDP1=28-06-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=CFU;d=2017-06-26;r=2017-06-28
453,False,168,CDG,CHQ,Aegean Airlines,Aegean Airlines,2017-03-02 00:00:00,2017-03-05 00:00:00,1435.9869050094974,5.849635515962065,2017-01-03 20:44:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=CHQ&SDP0=02-03-2017&SO1=CHQ&SD1=CDG&SDP1=05-03-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=CHQ;d=2017-03-02;r=2017-03-05
455,False,158,CDG,HER,Vueling Airlines,Aegean Airlines,2017-09-18 00:00:00,2017-09-20 00:00:00,1485.3988869554325,5.31843673061607,2016-12-24 07:25:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=HER&SDP0=18-09-2017&SO1=HER&SD1=CDG&SDP1=20-09-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=HER;d=2017-09-18;r=2017-09-20
456,True,96,CDG,HER,Aegean Airlines,Aegean Airlines,2017-09-27 00:00:00,2017-10-11 00:00:00,1485.3988869554325,3.2314552287287515,2017-01-06 09:26:00,http://www.momondo.com/flightsearch/?Search=true&TripType=2&SegNo=2&SO0=CDG&SD0=HER&SDP0=27-09-2017&SO1=HER&SD1=CDG&SDP1=11-10-2017&AD=1&TK=ECO&DO=false&NA=false,https://www.google.com/flights/#search;f=CDG;t=HER;d=2017-09-27;r=2017-10-11
